Protocol Name	Sample ID	Cell line	Cell Type	NF2 status	AC50 (uM)	CRC	Max Resp	Log AC50 (M)	Sample Name	AUC	AUC Fit	Gene Symbol
s-nf2-hs01-1	NCGC00015034-02	HS01	schwannoma	NF2 null 	0.001482	1.2	106.544	-8.8292	INO-1001	489.985	489.409	PARP1
s-nf2-hs01-1	NCGC00015036-08	HS01	schwannoma	NF2 null 		4	118.514		Amantadine hydrochloride	517.705	512.173	DRD1
s-nf2-hs01-1	NCGC00015038-08	HS01	schwannoma	NF2 null 		4	107.869		Aminopterin	470.41	470.356	DHFR
s-nf2-hs01-1	NCGC00015049-18	HS01	schwannoma	NF2 null 	29.565863	-3	73.148	-4.5292	Apigenin	547.51	546.707	CYP2C9
s-nf2-hs01-1	NCGC00015054-06	HS01	schwannoma	NF2 null 		4	100.332		Tacrine	543.555	544.205	ACHE
s-nf2-hs01-1	NCGC00015060-19	HS01	schwannoma	NF2 null 		4	94.161		Azathioprine	521.418	520.132	
s-nf2-hs01-1	NCGC00015061-12	HS01	schwannoma	NF2 null 	4.685874	-1.2	57.072	-5.3292	Aciclovir	444.266	445.736	
s-nf2-hs01-1	NCGC00015067-13	HS01	schwannoma	NF2 null 		4	110.722		Aspirin	559.261		
s-nf2-hs01-1	NCGC00015075-07	HS01	schwannoma	NF2 null 		4	112.758		Arecoline	557.455		
s-nf2-hs01-1	NCGC00015086-03	HS01	schwannoma	NF2 null 		4	85.796		Acetylcysteine	348.05	345.345	NFKB1
s-nf2-hs01-1	NCGC00015089-08	HS01	schwannoma	NF2 null 	0.014818	-1.2	100.244	-7.8292	Amiloride	471.372	471.46	SCNN1D
s-nf2-hs01-1	NCGC00015092-09	HS01	schwannoma	NF2 null 		4	111.503		Aminocaproic acid	529.773	528.777	SERPINE1
s-nf2-hs01-1	NCGC00015096-11	HS01	schwannoma	NF2 null 	23.485	-2.2	72.731	-4.6292	Amiodarone hydrochloride	523.409	522.781	
s-nf2-hs01-1	NCGC00015100-14	HS01	schwannoma	NF2 null 		4	100.001		Altretamine	506.127	505.26	
s-nf2-hs01-1	NCGC00015110-12	HS01	schwannoma	NF2 null 		4	101.699		Aminoglutethimide	461.815	461.14	CYP19A1
s-nf2-hs01-1	NCGC00015116-10	HS01	schwannoma	NF2 null 		4	102.793		Aniracetam	510.286		
s-nf2-hs01-1	NCGC00015121-16	HS01	schwannoma	NF2 null 		4	94.596		Phenoxybenzamine hydrochloride	450.067	449.855	
s-nf2-hs01-1	NCGC00015122-09	HS01	schwannoma	NF2 null 		4	117.561		Bupropion hydrochloride	477.782	477.537	SLC6A3
s-nf2-hs01-1	NCGC00015144-04	HS01	schwannoma	NF2 null 		4	101.276		O6-Benzylguanine	495.668	495.534	MGMT
s-nf2-hs01-1	NCGC00015147-09	HS01	schwannoma	NF2 null 		4	100.288		Benzamil	507.306	507.238	SCNN1D
s-nf2-hs01-1	NCGC00015148-07	HS01	schwannoma	NF2 null 		4	81.911		Buthionine sulphoximine	450.941	452.938	GSS
s-nf2-hs01-1	NCGC00015149-15	HS01	schwannoma	NF2 null 		4	100.015		Bumetanide	475.255	474.453	
s-nf2-hs01-1	NCGC00015150-04	HS01	schwannoma	NF2 null 		4	100.827		Betaine hydrochloride	443.154	443.599	
s-nf2-hs01-1	NCGC00015159-06	HS01	schwannoma	NF2 null 		4	99.17		Betaxolol	497.551	495.89	ADRB1
s-nf2-hs01-1	NCGC00015163-08	HS01	schwannoma	NF2 null 		4	94.487		Benserazide	479.778	480.574	DDC
s-nf2-hs01-1	NCGC00015173-02	HS01	schwannoma	NF2 null 	1.662611	-2.4	87.982	-5.7792	BRL-15572	530.702	530.32	HTR1D
s-nf2-hs01-1	NCGC00015185-04	HS01	schwannoma	NF2 null 		4	97.093		Carbidopa	496.804	495.103	
s-nf2-hs01-1	NCGC00015191-06	HS01	schwannoma	NF2 null 		4	103.042		Chlormezanone	511.814		GABRA1
s-nf2-hs01-1	NCGC00015199-19	HS01	schwannoma	NF2 null 		4	106.644		Chlorambucil	499.356	498.877	
s-nf2-hs01-1	NCGC00015204-08	HS01	schwannoma	NF2 null 		4	100.593		Carmustine	500.101	499.905	
s-nf2-hs01-1	NCGC00015205-07	HS01	schwannoma	NF2 null 		4	104.78		PK-11195	539.687	540.453	NR1I3
s-nf2-hs01-1	NCGC00015207-11	HS01	schwannoma	NF2 null 		4	112.869		Cilostazol	512.484		PDE3A
s-nf2-hs01-1	NCGC00015208-09	HS01	schwannoma	NF2 null 		4	104.881		"Caffeine, citrated"	549.442	549.958	
s-nf2-hs01-1	NCGC00015209-12	HS01	schwannoma	NF2 null 		4	106.04		Cyclophosphamide	540.378		BCL2
s-nf2-hs01-1	NCGC00015225-03	HS01	schwannoma	NF2 null 	16.626107	-2.1	4.844	-4.7792	Chelerythrine chloride	491.279	489.823	BCL2L1
s-nf2-hs01-1	NCGC00015226-11	HS01	schwannoma	NF2 null 		4	90.406		Mitotane	482.745	482.48	
s-nf2-hs01-1	NCGC00015233-04	HS01	schwannoma	NF2 null 	23.485	-2.1	2.851	-4.6292	Calmidazolium chloride	506.508	504.897	CAMKK2
s-nf2-hs01-1	NCGC00015242-12	HS01	schwannoma	NF2 null 	0.005899	1.4	111.571	-8.2292	Chlorothiazide	496.491	497.353	
s-nf2-hs01-1	NCGC00015245-07	HS01	schwannoma	NF2 null 		4	100.412		Bethanechol chloride	533.607	533.335	
s-nf2-hs01-1	NCGC00015251-14	HS01	schwannoma	NF2 null 	20.931028	-2.2	58.787	-4.6792	Clotrimazole	506.569	506.73	CYP51A1
s-nf2-hs01-1	NCGC00015252-13	HS01	schwannoma	NF2 null 		4	85.663		Cyproheptadine hydrochloride	486.732	488.183	HRH1
s-nf2-hs01-1	NCGC00015254-12	HS01	schwannoma	NF2 null 		4	110.525		Clozapine	536.05	536.99	DRD4
s-nf2-hs01-1	NCGC00015256-13	HS01	schwannoma	NF2 null 		4	95.313		Chloroquine	474.252		
s-nf2-hs01-1	NCGC00015257-06	HS01	schwannoma	NF2 null 		4	105.011		Clofibrate	486.539		PPARA
s-nf2-hs01-1	NCGC00015264-08	HS01	schwannoma	NF2 null 	9.349547	-1.1	15.619	-5.0292	Clomipramine	469.999	469.518	SLC6A4
s-nf2-hs01-1	NCGC00015267-09	HS01	schwannoma	NF2 null 		4	90.293		Citalopram hydrobromide	482.669	481.602	HTR1A
s-nf2-hs01-1	NCGC00015268-05	HS01	schwannoma	NF2 null 		4	101.462		Clonidine	454.371	454.486	ADRA1A
s-nf2-hs01-1	NCGC00015278-14	HS01	schwannoma	NF2 null 	0.005899	1.2	109.338	-8.2292	Carisoprodol	484.475	483.971	
s-nf2-hs01-1	NCGC00015300-05	HS01	schwannoma	NF2 null 	18.654798	-2.1	16.79	-4.7292	GBR 12909 dihydrochloride	442.233	441.938	
s-nf2-hs01-1	NCGC00015316-06	HS01	schwannoma	NF2 null 		4	88.787		Eflornithine Hydrochloride	501.982	500.423	ODC1
s-nf2-hs01-1	NCGC00015321-04	HS01	schwannoma	NF2 null 	16.626107	-2.2	44.587	-4.7792	Dobutamine	458.599	459.766	ADRB1
s-nf2-hs01-1	NCGC00015332-04	HS01	schwannoma	NF2 null 		4	112.049		Diltiazem hydrochloride	534.418	534.171	
s-nf2-hs01-1	NCGC00015335-11	HS01	schwannoma	NF2 null 	6.618972	2.4	110.767	-5.1792	Diphenhydramine hydrochloride	485.893	485.127	HRH1
s-nf2-hs01-1	NCGC00015349-06	HS01	schwannoma	NF2 null 	26.350603	-2.4	73.236	-4.5792	Daphnetin	477.255	475.343	
s-nf2-hs01-1	NCGC00015365-18	HS01	schwannoma	NF2 null 		4	109.757		"4',7-Dihydroxyisoflavanone"	551.776	556.643	ESR1
s-nf2-hs01-1	NCGC00015385-12	HS01	schwannoma	NF2 null 	16.626107	-2.2	67.601	-4.7792	Dipyridamole	513.623	512.167	PDE5A
s-nf2-hs01-1	NCGC00015389-08	HS01	schwannoma	NF2 null 		4	96.428		Propofol	483.367	482.078	TRPV1
s-nf2-hs01-1	NCGC00015399-15	HS01	schwannoma	NF2 null 		4	111.348		Etodolac	533.94		PTGS2
s-nf2-hs01-1	NCGC00015418-08	HS01	schwannoma	NF2 null 		4	117.914		Ethosuximide	574.133	575.39	
s-nf2-hs01-1	NCGC00015420-09	HS01	schwannoma	NF2 null 		4	109.975		Emodin	568.65	569.921	
s-nf2-hs01-1	NCGC00015429-08	HS01	schwannoma	NF2 null 		4	105.553		Felbamate	515.461		GABRA1
s-nf2-hs01-1	NCGC00015436-09	HS01	schwannoma	NF2 null 	33.173444	-3	61.942	-4.4792	Fluphenazine hydrochloride	477.368	474.109	DRD2
s-nf2-hs01-1	NCGC00015437-16	HS01	schwannoma	NF2 null 		4	89.368		Fenofibrate	510.24	509.52	PPARA
s-nf2-hs01-1	NCGC00015439-06	HS01	schwannoma	NF2 null 		4	102.146		Flumazenil	543.267	542.499	GABRA1
s-nf2-hs01-1	NCGC00015442-16	HS01	schwannoma	NF2 null 	9.349547	-2.2	49.223	-5.0292	Fluorouracil	458.897	457.173	
s-nf2-hs01-1	NCGC00015443-06	HS01	schwannoma	NF2 null 	0.004686	-1.4	78.859	-8.3292	Flecainide	471.766	470.32	SCN5A
s-nf2-hs01-1	NCGC00015444-04	HS01	schwannoma	NF2 null 		4	97.993		Fenoldopam	487.786	486.613	DRD1
s-nf2-hs01-1	NCGC00015448-04	HS01	schwannoma	NF2 null 	10.490364	-2.1	24.732	-4.9792	Salirasib	423.77	423.335	MTOR
s-nf2-hs01-1	NCGC00015451-06	HS01	schwannoma	NF2 null 	5.899165	-2.4	88.063	-5.2292	Flupirtine maleate	497.129	495.946	KCNQ1
s-nf2-hs01-1	NCGC00015452-19	HS01	schwannoma	NF2 null 		4	90.392		Flutamide	449.195	449.783	AR
s-nf2-hs01-1	NCGC00015462-12	HS01	schwannoma	NF2 null 		4	90.745		Glipizide	509.262	508.617	
s-nf2-hs01-1	NCGC00015463-02	HS01	schwannoma	NF2 null 		4	91.484		GYKI-52466	453.983	453.454	
s-nf2-hs01-1	NCGC00015466-04	HS01	schwannoma	NF2 null 		4	101.378		Gabapentin	497.735		
s-nf2-hs01-1	NCGC00015471-06	HS01	schwannoma	NF2 null 	23.485	-2.1	12.996	-4.6292	Ganciclovir	453.228	452.362	
s-nf2-hs01-1	NCGC00015478-08	HS01	schwannoma	NF2 null 	7.426609	-2.4	77.084	-5.1292	GW-5074	468.491	467.237	BRAF
s-nf2-hs01-1	NCGC00015479-20	HS01	schwannoma	NF2 null 	18.654798	-2.2	63.709	-4.7292	Genistein	467.459	467.948	TOP2A
s-nf2-hs01-1	NCGC00015480-13	HS01	schwannoma	NF2 null 		4	98.499		GW-7647	523.121	523.285	PPARA
s-nf2-hs01-1	NCGC00015482-05	HS01	schwannoma	NF2 null 		4	91.809		Gallamine triethiodide	529.357	526.637	
s-nf2-hs01-1	NCGC00015484-06	HS01	schwannoma	NF2 null 	16.626107	-2.4	74.74	-4.7792	GBR-12935	470.436	470.535	
s-nf2-hs01-1	NCGC00015500-10	HS01	schwannoma	NF2 null 		4	101.873		Haloperidol	495.573	494.763	DRD2
s-nf2-hs01-1	NCGC00015501-07	HS01	schwannoma	NF2 null 	0.002348	1.4	112.539	-8.6292	Hydralazine hydrochloride	514.405	512.769	
s-nf2-hs01-1	NCGC00015508-17	HS01	schwannoma	NF2 null 	0.002635	1.4	96.304	-8.5792	Hydrochlorothiazide	484.539	481.499	
s-nf2-hs01-1	NCGC00015513-09	HS01	schwannoma	NF2 null 		4	90.481		Histamine dihydrochloride	502.871	503.81	HRH1
s-nf2-hs01-1	NCGC00015519-09	HS01	schwannoma	NF2 null 		4	97.106		Dopamine HCl	490.026	488.497	
s-nf2-hs01-1	NCGC00015520-10	HS01	schwannoma	NF2 null 	5.899165	-1.1	10.098	-5.2292	Hydroxyurea	401.033	401.996	RRM1
s-nf2-hs01-1	NCGC00015529-18	HS01	schwannoma	NF2 null 	0.016203	1.4	95.747	-7.7904	Ibuprofen lysine	467	467.137	PTGS1
s-nf2-hs01-1	NCGC00015558-06	HS01	schwannoma	NF2 null 	26.350603	-3	77.198	-4.5792	Isoproterenol	530.339	528.068	ADRB1
s-nf2-hs01-1	NCGC00015562-24	HS01	schwannoma	NF2 null 		4	117.378		Indomethacin	568.014	568.111	
s-nf2-hs01-1	NCGC00015578-10	HS01	schwannoma	NF2 null 		4	97.974		Ketoprofen	515.56	515.773	
s-nf2-hs01-1	NCGC00015580-08	HS01	schwannoma	NF2 null 		4	82.773		Ketotifen	478.211	479.62	HRH1
s-nf2-hs01-1	NCGC00015590-07	HS01	schwannoma	NF2 null 	0.008333	-1.4	86.761	-8.0792	Linopirdine	474.423	473.294	
s-nf2-hs01-1	NCGC00015598-03	HS01	schwannoma	NF2 null 	20.931028	-2.1	28.662	-4.6792	beta-Lapachone	511.656	511.792	TOP1
s-nf2-hs01-1	NCGC00015601-03	HS01	schwannoma	NF2 null 	0.002348	-1.4	91.523	-8.6292	LY310762	502.963	500.376	HTR1D
s-nf2-hs01-1	NCGC00015603-07	HS01	schwannoma	NF2 null 		4	103.558		Lomefloxacin hydrochloride	479.066	480.148	
s-nf2-hs01-1	NCGC00015605-10	HS01	schwannoma	NF2 null 	0.003317	-1.4	105.849	-8.4792	Lamotrigine	518.343	518.515	
s-nf2-hs01-1	NCGC00015608-04	HS01	schwannoma	NF2 null 	23.485	-3	68.678	-4.6292	Loperamide	504.613	503.658	OPRM1
s-nf2-hs01-1	NCGC00015609-05	HS01	schwannoma	NF2 null 		4	101.565		Lonidamine	470.156	470.547	HK1
s-nf2-hs01-1	NCGC00015610-18	HS01	schwannoma	NF2 null 	16.626107	-2.4	89.568	-4.7792	Leflunomide	546.743	545.64	JAK1
s-nf2-hs01-1	NCGC00015615-14	HS01	schwannoma	NF2 null 		4	84.862		Lansoprazole	455.699	455.937	
s-nf2-hs01-1	NCGC00015619-09	HS01	schwannoma	NF2 null 		4	73.749		Loratadine	473.267	474.217	HRH1
s-nf2-hs01-1	NCGC00015622-02	HS01	schwannoma	NF2 null 	7.426609	-1.4	72.254	-5.1292	LY-294002	457.616	456.708	PIK3CA
s-nf2-hs01-1	NCGC00015646-04	HS01	schwannoma	NF2 null 	7.426609	-2.2	103.247	-5.1292	Fomepizole	429.064	425.943	ADH1
s-nf2-hs01-1	NCGC00015647-03	HS01	schwannoma	NF2 null 	0.037221	-1.2	43.439	-7.4292	Nocodazole	317.205	314.261	TUBB
s-nf2-hs01-1	NCGC00015649-05	HS01	schwannoma	NF2 null 	0.014818	1.2	111.096	-7.8292	Moxonidine hydrochloride hydrate	487.035	486.136	NISCH
s-nf2-hs01-1	NCGC00015656-06	HS01	schwannoma	NF2 null 	14.818033	-2.4	86.829	-4.8292	Mianserin	532.355	532.561	HTR2A
s-nf2-hs01-1	NCGC00015672-01	HS01	schwannoma	NF2 null 	16.626107	-2.4	84.787	-4.7792	Morin hydrate	523.354	522.987	CYP1A2
s-nf2-hs01-1	NCGC00015673-08	HS01	schwannoma	NF2 null 		4	108.104		Minoxidil	505.812	506.677	
s-nf2-hs01-1	NCGC00015675-03	HS01	schwannoma	NF2 null 		4	86.581		Milrinone	501.471	505.308	PDE3A
s-nf2-hs01-1	NCGC00015680-14	HS01	schwannoma	NF2 null 	2.63506	-2.4	79.132	-5.5792	Melatonin	471.145	473.623	
s-nf2-hs01-1	NCGC00015682-02	HS01	schwannoma	NF2 null 		4	111.232		MPEP	528.771	530.479	GRM5
s-nf2-hs01-1	NCGC00015693-08	HS01	schwannoma	NF2 null 	5.899165	-2.1	6.625	-5.2292	Mitoxantrone	345.096	345.26	TOP2A
s-nf2-hs01-1	NCGC00015697-11	HS01	schwannoma	NF2 null 		4	96.843		Myricetin	565.368	565.607	CYP1A2
s-nf2-hs01-1	NCGC00015705-04	HS01	schwannoma	NF2 null 		4	81.274		Memantine	452.468	449.679	GRIN2A
s-nf2-hs01-1	NCGC00015708-17	HS01	schwannoma	NF2 null 		4	81.918		Maprotiline hydrochloride	504.568	504.459	
s-nf2-hs01-1	NCGC00015718-06	HS01	schwannoma	NF2 null 	18.654798	-2.2	71.845	-4.7292	Naftopidil	481.478	481.715	ADRA1A
s-nf2-hs01-1	NCGC00015724-14	HS01	schwannoma	NF2 null 		4	96.19		Niflumic acid	456.242	455.678	PTGS2
s-nf2-hs01-1	NCGC00015725-16	HS01	schwannoma	NF2 null 		4	86.906		Nimesulide	509.494	508.381	PTGS2
s-nf2-hs01-1	NCGC00015735-12	HS01	schwannoma	NF2 null 	1.177038	-1.2	29.668	-5.9292	Niclosamide	413.538	409.916	STAT3
s-nf2-hs01-1	NCGC00015754-15	HS01	schwannoma	NF2 null 		4	84.185		Nilutamide	472.184	473.011	AR
s-nf2-hs01-1	NCGC00015766-08	HS01	schwannoma	NF2 null 		4	112.544		Oxymetazoline	495.804	495.906	ADRA1A
s-nf2-hs01-1	NCGC00015767-09	HS01	schwannoma	NF2 null 		4	102.815		Oxybutynin chloride	483.487	483.016	
s-nf2-hs01-1	NCGC00015771-12	HS01	schwannoma	NF2 null 		4	101.962		Orphenadrine hydrochloride	469	468.769	
s-nf2-hs01-1	NCGC00015772-13	HS01	schwannoma	NF2 null 		4	105.242		Ofloxacin	531.458		
s-nf2-hs01-1	NCGC00015785-04	HS01	schwannoma	NF2 null 	16.626107	-2.2	62.853	-4.7792	Progesterone	429.212	429.331	PGR
s-nf2-hs01-1	NCGC00015790-02	HS01	schwannoma	NF2 null 	33.173444	-3	62.131	-4.4792	PD-098059	479.399	476.715	MAP2K1
s-nf2-hs01-1	NCGC00015810-13	HS01	schwannoma	NF2 null 	20.931028	-2.2	61.066	-4.6792	Papaverine hydrochloride	489.5	488.771	PDE10A
s-nf2-hs01-1	NCGC00015818-15	HS01	schwannoma	NF2 null 		4	101.78		Praziquantel	458.966		
s-nf2-hs01-1	NCGC00015819-11	HS01	schwannoma	NF2 null 		4	89.301		Propafenone hydrochloride	468.887	470.136	
s-nf2-hs01-1	NCGC00015823-18	HS01	schwannoma	NF2 null 		4	82.936		Piroxicam	461.996	461.971	PTGS1
s-nf2-hs01-1	NCGC00015830-07	HS01	schwannoma	NF2 null 		4	103.124		Phenelzine	509.446		MAOA
s-nf2-hs01-1	NCGC00015833-16	HS01	schwannoma	NF2 null 		4	100.76		Pyrazinamide	447.996	450.275	FAS
s-nf2-hs01-1	NCGC00015834-11	HS01	schwannoma	NF2 null 	0.002093	-1.4	91.192	-8.6792	Primidone	501.696	500.175	
s-nf2-hs01-1	NCGC00015840-09	HS01	schwannoma	NF2 null 	33.173444	-3	66.061	-4.4792	Phloretin	492.602	488.857	ICAM1
s-nf2-hs01-1	NCGC00015848-04	HS01	schwannoma	NF2 null 		4	108.81		Tranylcypromine	538.785	537.463	MAOA
s-nf2-hs01-1	NCGC00015856-08	HS01	schwannoma	NF2 null 	33.173444	-2.4	74.701	-4.4792	Prochlorperazine dimaleate	490.292	487.441	DRD2
s-nf2-hs01-1	NCGC00015870-16	HS01	schwannoma	NF2 null 		4	80.775		Quercetine	455.442	452.406	
s-nf2-hs01-1	NCGC00015871-07	HS01	schwannoma	NF2 null 		4	97.977		Quinidine	513.407	511.658	CYP2D6
s-nf2-hs01-1	NCGC00015882-09	HS01	schwannoma	NF2 null 		4	92.896		Riluzole	486.115	485.701	GRM1
s-nf2-hs01-1	NCGC00015883-08	HS01	schwannoma	NF2 null 		4	110.412		Risperidone???	511.035	509.576	DRD2
s-nf2-hs01-1	NCGC00015884-09	HS01	schwannoma	NF2 null 	0.001321	1.4	100.978	-8.8792	Rilmenidine	448.918	450.67	NISCH
s-nf2-hs01-1	NCGC00015887-05	HS01	schwannoma	NF2 null 		4	117.05		Ritodrine hydrochloride	533.118	534.03	ADRB2
s-nf2-hs01-1	NCGC00015888-04	HS01	schwannoma	NF2 null 		4	112.445		Reserpine	558.601		
s-nf2-hs01-1	NCGC00015889-10	HS01	schwannoma	NF2 null 	18.654798	-2.4	67.721	-4.7292	Raloxifene hydrochloride	426.775	426.65	ESR1
s-nf2-hs01-1	NCGC00015892-07	HS01	schwannoma	NF2 null 		4	99.121		Rutaecarpine	453.241	453.371	PTGS2
s-nf2-hs01-1	NCGC00015897-06	HS01	schwannoma	NF2 null 		4	108.648		Ranolazine	507.92	507.406	SCN9A
s-nf2-hs01-1	NCGC00015898-12	HS01	schwannoma	NF2 null 		4	102.116		Rolipram	516.615	516.609	PDE4A
s-nf2-hs01-1	NCGC00015917-07	HS01	schwannoma	NF2 null 	8.332792	-2.4	62.57	-5.0792	SB-206553	471.571	471.116	HTR1A
s-nf2-hs01-1	NCGC00015918-05	HS01	schwannoma	NF2 null 		4	103.238		SB-224289	486.615		HTR1B
s-nf2-hs01-1	NCGC00015919-04	HS01	schwannoma	NF2 null 		4	116.326		Sotalol	548.779	549.562	ADRB1
s-nf2-hs01-1	NCGC00015924-13	HS01	schwannoma	NF2 null 		4	98.405		Synephrine	458.699	457.979	ADRA1A
s-nf2-hs01-1	NCGC00015925-13	HS01	schwannoma	NF2 null 		4	108.471		Sulfaphenazole	506.309	505.761	
s-nf2-hs01-1	NCGC00015937-02	HS01	schwannoma	NF2 null 		4	104.702		Spermidine	497.873	496.426	GRIN2A
s-nf2-hs01-1	NCGC00015950-07	HS01	schwannoma	NF2 null 	18.654798	-2.2	65.234	-4.7292	SB-415286	495.592	494.247	GSK3B
s-nf2-hs01-1	NCGC00015955-09	HS01	schwannoma	NF2 null 		4	113.925		Albuterol	536.157	535.886	ADRB2
s-nf2-hs01-1	NCGC00015958-02	HS01	schwannoma	NF2 null 	23.485	-3	49.665	-4.6292	SP-600125	483.414	482.13	MAPK8
s-nf2-hs01-1	NCGC00015962-02	HS01	schwannoma	NF2 null 		4	32.244		SB-202190	318.971		MAPK14
s-nf2-hs01-1	NCGC00015966-03	HS01	schwannoma	NF2 null 	1.86548	2.4	117.114	-5.7292	Levosulpiride	505.221	504.364	DRD2
s-nf2-hs01-1	NCGC00015970-10	HS01	schwannoma	NF2 null 	14.818033	-2.2	74.313	-4.8292	Sulindac	510.016	517.855	
s-nf2-hs01-1	NCGC00015977-02	HS01	schwannoma	NF2 null 		4	115.043		SK&F-89976A	507.047	507.235	SLC6A1
s-nf2-hs01-1	NCGC00015989-16	HS01	schwannoma	NF2 null 	2.63506	-1.2	78.393	-5.5792	Thalidomide	501.209	499.944	TNF
s-nf2-hs01-1	NCGC00015997-06	HS01	schwannoma	NF2 null 		4	106.506		l-Taurine	547.131	551.539	
s-nf2-hs01-1	NCGC00016000-10	HS01	schwannoma	NF2 null 	1.481803	-1.1	15.084	-5.8292	Disulfiram	349.689	347.885	ALDH2
s-nf2-hs01-1	NCGC00016014-08	HS01	schwannoma	NF2 null 	20.931028	-2.2	68.399	-4.6792	Tyrphostin B42	551.451	549.554	JAK2
s-nf2-hs01-1	NCGC00016017-07	HS01	schwannoma	NF2 null 	29.565863	-3	9.795	-4.5292	AG-1478	535.702	534.296	EGFR
s-nf2-hs01-1	NCGC00016023-17	HS01	schwannoma	NF2 null 	23.485	-2.1	4.844	-4.6292	Theobromine	501.602	498.104	PDE4A
s-nf2-hs01-1	NCGC00016024-06	HS01	schwannoma	NF2 null 		4	94.956		Taxifolin	433.008	432.751	
s-nf2-hs01-1	NCGC00016026-11	HS01	schwannoma	NF2 null 		4	94.875		Terazosin hydrochloride	457.173	458.206	ADRA1A
s-nf2-hs01-1	NCGC00016035-12	HS01	schwannoma	NF2 null 		4	99.989		Trazodone hydrochloride	484.112		ADRA2A
s-nf2-hs01-1	NCGC00016083-13	HS01	schwannoma	NF2 null 		4	87.298		Verapamil	458.507		DRD2
s-nf2-hs01-1	NCGC00016092-03	HS01	schwannoma	NF2 null 		4	101.741		WAY-100635	488.275	489.073	HTR1A
s-nf2-hs01-1	NCGC00016101-09	HS01	schwannoma	NF2 null 		4	104.874		Xylometazoline hydrochloride	479.183	478.349	ADRA2A
s-nf2-hs01-1	NCGC00016103-06	HS01	schwannoma	NF2 null 	18.654798	-2.4	84.662	-4.7292	Lificiguat	555.087	554.066	HIF1A
s-nf2-hs01-1	NCGC00016210-06	HS01	schwannoma	NF2 null 	9.349547	-1.1	7.153	-5.0292	WIN-55212-2	399.607	397.022	CNR1
s-nf2-hs01-1	NCGC00016229-13	HS01	schwannoma	NF2 null 		4	107.58		Propylthiouracil	480.083	480.146	TPO
s-nf2-hs01-1	NCGC00016241-11	HS01	schwannoma	NF2 null 		4	95.09		Furosemide	456.47	456.507	
s-nf2-hs01-1	NCGC00016244-14	HS01	schwannoma	NF2 null 	0.01177	1.2	107.957	-7.9292	Isoniazid	464.206	463.43	
s-nf2-hs01-1	NCGC00016245-01	HS01	schwannoma	NF2 null 		4	110.997		Scopolamine	575.396	575.304	
s-nf2-hs01-1	NCGC00016246-12	HS01	schwannoma	NF2 null 	37.221216	-3	34.137	-4.4292	Chlorhexidine	459.996	457.221	MMP1
s-nf2-hs01-1	NCGC00016256-16	HS01	schwannoma	NF2 null 		4	99.682		Pyrimethamine	450.795	450.796	DHFR
s-nf2-hs01-1	NCGC00016258-07	HS01	schwannoma	NF2 null 		4	70.484		Menadione	434.873	433.561	CDC25
s-nf2-hs01-1	NCGC00016268-09	HS01	schwannoma	NF2 null 		4	106.479		Niacin	542.414	542.63	
s-nf2-hs01-1	NCGC00016270-10	HS01	schwannoma	NF2 null 		4	107.685		Levodopa	490.372		
s-nf2-hs01-1	NCGC00016285-08	HS01	schwannoma	NF2 null 		4	107.64		Sulfanilamide	522.269		CA1
